,benchmark,ori_and,ori_level,fr_and,fr_level,time,sat_type
0,arbiter,11839,87,11839,87,4.9, 
1,arbiter,11839,87,11839,87,0.56,-c
2,ctrl,174,10,169,10,0.0, 
3,ctrl,174,10,169,10,0.0,-c
4,cavlc,693,16,690,16,0.0, 
5,cavlc,693,16,690,16,0.0,-c
6,dec,304,3,304,3,0.0, 
7,dec,304,3,304,3,0.0,-c
8,i2c,1342,20,1321,20,0.02, 
9,i2c,1342,20,1321,20,0.01,-c
10,int2float,260,16,258,16,0.0, 
11,int2float,260,16,258,16,0.0,-c
12,mem_ctrl,46836,114,46718,115,3.66, 
13,mem_ctrl,46836,114,46718,115,4.05,-c
14,priority,978,250,978,250,0.3, 
15,priority,978,250,978,250,0.08,-c
16,router,257,54,257,54,0.03, 
17,router,257,54,257,54,0.0,-c
18,voter,13758,70,11925,65,3.95, 
19,voter,13758,70,11988,69,33.89,-c
20,adder,1020,255,1020,255,0.0, 
21,adder,1020,255,1020,255,0.0,-c
22,bar,3336,12,3336,12,0.0, 
23,bar,3336,12,3336,12,0.0,-c
24,div,57247,4372,29040,4374,7.75, 
25,div,57247,4372,57241,4372,109.86999999999999,-c
26,hyp,214335,24801,214306,24800,2.1700000000000004, 
27,hyp,214335,24801,214306,24800,0.46,-c
28,max,2865,287,2865,287,0.0, 
29,max,2865,287,2865,287,0.0,-c
30,multiplier,27062,274,27060,274,193.59, 
31,multiplier,27062,274,27060,274,0.06,-c
32,sin,5416,225,5353,222,5.63, 
33,sin,5416,225,5416,225,0.24,-c
34,sqrt,24618,5058,24507,5058,0.08, 
35,sqrt,24618,5058,24507,5058,0.03,-c
36,square,18484,250,18482,251,0.06, 
37,square,18484,250,18482,251,0.19,-c
