,benchmark,ori_and,ori_level,fr_and,fr_level,time,sat_type
0,arbiter,11839,87,11839,87,5.07, 
1,arbiter,11839,87,11839,87,0.51,-c
2,arbiter,11839,87,11839,87,0.22,-x
3,ctrl,174,10,169,10,0.0, 
4,ctrl,174,10,169,10,0.0,-c
5,ctrl,174,10,169,10,0.01,-x
6,cavlc,693,16,690,16,0.0, 
7,cavlc,693,16,690,16,0.0,-c
8,cavlc,693,16,690,16,0.01,-x
9,dec,304,3,304,3,0.0, 
10,dec,304,3,304,3,0.0,-c
11,dec,304,3,304,3,0.0,-x
12,i2c,1342,20,1321,20,0.01, 
13,i2c,1342,20,1321,20,0.01,-c
14,i2c,1342,20,1321,20,0.04,-x
15,int2float,260,16,258,16,0.0, 
16,int2float,260,16,258,16,0.0,-c
17,int2float,260,16,258,16,0.01,-x
18,mem_ctrl,46836,114,46718,115,3.79, 
19,mem_ctrl,46836,114,46718,115,4.11,-c
20,mem_ctrl,46836,114,46716,115,0.33,-x
21,priority,978,250,978,250,0.29, 
22,priority,978,250,978,250,0.09,-c
23,priority,978,250,978,250,0.96,-x
24,router,257,54,257,54,0.02, 
25,router,257,54,257,54,0.0,-c
26,router,257,54,257,54,0.08,-x
27,voter,13758,70,11925,65,4.09, 
28,voter,13758,70,11988,69,34.59,-c
29,voter,13758,70,11925,65,0.68,-x
30,adder,1020,255,1020,255,0.0, 
31,adder,1020,255,1020,255,0.0,-c
32,adder,1020,255,1020,255,0.0,-x
33,bar,3336,12,3336,12,0.0, 
34,bar,3336,12,3336,12,0.01,-c
35,bar,3336,12,3336,12,0.0,-x
36,div,57247,4372,29040,4374,7.79, 
37,div,57247,4372,57241,4372,114.24,-c
38,div,57247,4372,29040,4374,0.94,-x
39,hyp,214335,24801,214306,24800,2.9000000000000004, 
40,hyp,214335,24801,214306,24800,0.5,-c
41,hyp,214335,24801,214306,24800,0.37,-x
42,max,2865,287,2865,287,0.01, 
43,max,2865,287,2865,287,0.01,-c
44,max,2865,287,2865,287,0.0,-x
45,multiplier,27062,274,27060,274,231.16, 
46,multiplier,27062,274,27060,274,0.06,-c
47,multiplier,27062,274,27060,274,549.8,-x
48,sin,5416,225,5353,222,5.88, 
49,sin,5416,225,5416,225,0.26,-c
50,sin,5416,225,5353,222,1.91,-x
51,sqrt,24618,5058,24507,5058,0.08, 
52,sqrt,24618,5058,24507,5058,0.03,-c
53,sqrt,24618,5058,24506,5057,0.18,-x
54,square,18484,250,18482,251,0.08, 
55,square,18484,250,18482,251,0.22,-c
56,square,18484,250,18482,251,0.05,-x
